Medicamento,Departamento,Mes,Ventas
Fenobarbital 100 mg tabletas,Guaviare,Abr,6
Fenobarbital 100 mg tabletas,Guaviare,May,19.099999999999994
Fenobarbital 100 mg tabletas,Guaviare,Jun,0
Fenobarbital 100 mg tabletas,Guaviare,Jul,36
Fenobarbital 100 mg tabletas,Guaviare,Ago,17
Fenobarbital 100 mg tabletas,Guaviare,Sep,NA
Fenobarbital 100 mg tabletas,Guaviare,Oct,NA
Fenobarbital 100 mg tabletas,Guaviare,Nov,NA
Fenobarbital 100 mg tabletas,Guaviare,Dic,NA
Fenobarbital 100 mg tabletas,Huila,Ene,286
Fenobarbital 100 mg tabletas,Huila,Feb,2148
Fenobarbital 100 mg tabletas,Huila,Mar,811.4
Fenobarbital 100 mg tabletas,Huila,Abr,54.599999999999994
Fenobarbital 100 mg tabletas,Huila,May,424.70000000000005
Fenobarbital 100 mg tabletas,Huila,Jun,412.29999999999995
Fenobarbital 100 mg tabletas,Huila,Jul,2905
Fenobarbital 100 mg tabletas,Huila,Ago,1398
Fenobarbital 100 mg tabletas,Huila,Sep,NA
Fenobarbital 100 mg tabletas,Huila,Oct,NA
Fenobarbital 100 mg tabletas,Huila,Nov,NA
Fenobarbital 100 mg tabletas,Huila,Dic,NA
Fenobarbital 100 mg tabletas,Magdalena,Ene,806
Fenobarbital 100 mg tabletas,Magdalena,Feb,1045
Fenobarbital 100 mg tabletas,Magdalena,Mar,863
Fenobarbital 100 mg tabletas,Magdalena,Abr,584
Fenobarbital 100 mg tabletas,Magdalena,May,727
Fenobarbital 100 mg tabletas,Magdalena,Jun,686
Fenobarbital 100 mg tabletas,Magdalena,Jul,760
Fenobarbital 100 mg tabletas,Magdalena,Ago,838
Fenobarbital 100 mg tabletas,Magdalena,Sep,NA
Fenobarbital 100 mg tabletas,Magdalena,Oct,NA
Fenobarbital 100 mg tabletas,Magdalena,Nov,NA
Fenobarbital 100 mg tabletas,Magdalena,Dic,NA
Fenobarbital 100 mg tabletas,Meta,Ene,352
Fenobarbital 100 mg tabletas,Meta,Feb,205
Fenobarbital 100 mg tabletas,Meta,Mar,709
Fenobarbital 100 mg tabletas,Meta,Abr,316
Fenobarbital 100 mg tabletas,Meta,May,505
Fenobarbital 100 mg tabletas,Meta,Jun,577
Fenobarbital 100 mg tabletas,Meta,Jul,7149
Fenobarbital 100 mg tabletas,Meta,Ago,286
Fenobarbital 100 mg tabletas,Meta,Sep,NA
Fenobarbital 100 mg tabletas,Meta,Oct,NA
Fenobarbital 100 mg tabletas,Meta,Nov,NA
Fenobarbital 100 mg tabletas,Meta,Dic,NA
Fenobarbital 100 mg tabletas,Nariño,Ene,1158
Fenobarbital 100 mg tabletas,Nariño,Feb,1971
Fenobarbital 100 mg tabletas,Nariño,Mar,1569
Fenobarbital 100 mg tabletas,Nariño,Abr,1568
Fenobarbital 100 mg tabletas,Nariño,May,2188
Fenobarbital 100 mg tabletas,Nariño,Jun,1732
Fenobarbital 100 mg tabletas,Nariño,Jul,4790
Fenobarbital 100 mg tabletas,Nariño,Ago,1284
Fenobarbital 100 mg tabletas,Nariño,Sep,NA
Fenobarbital 100 mg tabletas,Nariño,Oct,NA
Fenobarbital 100 mg tabletas,Nariño,Nov,NA
Fenobarbital 100 mg tabletas,Nariño,Dic,NA
Fenobarbital 100 mg tabletas,Norte de Santander,Ene,2852
Fenobarbital 100 mg tabletas,Norte de Santander,Feb,1829
Fenobarbital 100 mg tabletas,Norte de Santander,Mar,3960
Fenobarbital 100 mg tabletas,Norte de Santander,Abr,2101.7999999999993
Fenobarbital 100 mg tabletas,Norte de Santander,May,3136.2000000000007
Fenobarbital 100 mg tabletas,Norte de Santander,Jun,3499
Fenobarbital 100 mg tabletas,Norte de Santander,Jul,2229
Fenobarbital 100 mg tabletas,Norte de Santander,Ago,847
Fenobarbital 100 mg tabletas,Norte de Santander,Sep,NA
Fenobarbital 100 mg tabletas,Norte de Santander,Oct,NA
Fenobarbital 100 mg tabletas,Norte de Santander,Nov,NA
Fenobarbital 100 mg tabletas,Norte de Santander,Dic,NA
Fenobarbital 100 mg tabletas,Putumayo,Ene,11
Fenobarbital 100 mg tabletas,Putumayo,Feb,953
Fenobarbital 100 mg tabletas,Putumayo,Mar,435
Fenobarbital 100 mg tabletas,Putumayo,Abr,61
Fenobarbital 100 mg tabletas,Putumayo,May,9
Fenobarbital 100 mg tabletas,Putumayo,Jun,273
Fenobarbital 100 mg tabletas,Putumayo,Jul,20
Fenobarbital 100 mg tabletas,Putumayo,Ago,21
Fenobarbital 100 mg tabletas,Putumayo,Sep,NA
Fenobarbital 100 mg tabletas,Putumayo,Oct,NA
Fenobarbital 100 mg tabletas,Putumayo,Nov,NA
Fenobarbital 100 mg tabletas,Putumayo,Dic,NA
Fenobarbital 100 mg tabletas,Quindío,Ene,533
Fenobarbital 100 mg tabletas,Quindío,Feb,718
Fenobarbital 100 mg tabletas,Quindío,Mar,567
Fenobarbital 100 mg tabletas,Quindío,Abr,529
Fenobarbital 100 mg tabletas,Quindío,May,751
Fenobarbital 100 mg tabletas,Quindío,Jun,581
Fenobarbital 100 mg tabletas,Quindío,Jul,654
Fenobarbital 100 mg tabletas,Quindío,Ago,666
Fenobarbital 100 mg tabletas,Quindío,Sep,NA
Fenobarbital 100 mg tabletas,Quindío,Oct,NA
Fenobarbital 100 mg tabletas,Quindío,Nov,NA
Fenobarbital 100 mg tabletas,Quindío,Dic,NA
Fenobarbital 100 mg tabletas,Risaralda,Ene,1983
Fenobarbital 100 mg tabletas,Risaralda,Feb,667
Fenobarbital 100 mg tabletas,Risaralda,Mar,1199
Fenobarbital 100 mg tabletas,Risaralda,Abr,1135
Fenobarbital 100 mg tabletas,Risaralda,May,598
Fenobarbital 100 mg tabletas,Risaralda,Jun,1342
Fenobarbital 100 mg tabletas,Risaralda,Jul,818
Fenobarbital 100 mg tabletas,Risaralda,Ago,908
Fenobarbital 100 mg tabletas,Risaralda,Sep,1108
Fenobarbital 100 mg tabletas,Risaralda,Oct,NA
Fenobarbital 100 mg tabletas,Risaralda,Nov,NA
Fenobarbital 100 mg tabletas,Risaralda,Dic,NA
Fenobarbital 100 mg tabletas,San Andrés y Providencia,Ene,6
Fenobarbital 100 mg tabletas,San Andrés y Providencia,Feb,35
Fenobarbital 100 mg tabletas,San Andrés y Providencia,Mar,6
Fenobarbital 100 mg tabletas,San Andrés y Providencia,Abr,9
Fenobarbital 100 mg tabletas,San Andrés y Providencia,May,66
Fenobarbital 100 mg tabletas,San Andrés y Providencia,Jun,5
Fenobarbital 100 mg tabletas,San Andrés y Providencia,Jul,0
Fenobarbital 100 mg tabletas,San Andrés y Providencia,Ago,NA
Fenobarbital 100 mg tabletas,San Andrés y Providencia,Sep,200
Fenobarbital 100 mg tabletas,San Andrés y Providencia,Oct,NA
Fenobarbital 100 mg tabletas,San Andrés y Providencia,Nov,NA
Fenobarbital 100 mg tabletas,San Andrés y Providencia,Dic,NA
Fenobarbital 100 mg tabletas,Santander,Ene,2178
Fenobarbital 100 mg tabletas,Santander,Feb,894
Fenobarbital 100 mg tabletas,Santander,Mar,557
Fenobarbital 100 mg tabletas,Santander,Abr,1963
Fenobarbital 100 mg tabletas,Santander,May,3261
Fenobarbital 100 mg tabletas,Santander,Jun,1881
Fenobarbital 100 mg tabletas,Santander,Jul,1932
Fenobarbital 100 mg tabletas,Santander,Ago,4565
Fenobarbital 100 mg tabletas,Santander,Sep,NA
Fenobarbital 100 mg tabletas,Santander,Oct,NA
Fenobarbital 100 mg tabletas,Santander,Nov,NA
Fenobarbital 100 mg tabletas,Santander,Dic,NA
Fenobarbital 100 mg tabletas,Sucre,Ene,22
Fenobarbital 100 mg tabletas,Sucre,Feb,21
Fenobarbital 100 mg tabletas,Sucre,Mar,23
Fenobarbital 100 mg tabletas,Sucre,Abr,24.939999999999998
Fenobarbital 100 mg tabletas,Sucre,May,24.060000000000002
Fenobarbital 100 mg tabletas,Sucre,Jun,4549.2
Fenobarbital 100 mg tabletas,Sucre,Jul,24.80000000000001
Fenobarbital 100 mg tabletas,Sucre,Ago,23
Fenobarbital 100 mg tabletas,Sucre,Sep,NA
Fenobarbital 100 mg tabletas,Sucre,Oct,NA
Fenobarbital 100 mg tabletas,Sucre,Nov,NA
Fenobarbital 100 mg tabletas,Sucre,Dic,NA
Fenobarbital 100 mg tabletas,Tolima,Ene,1109
Fenobarbital 100 mg tabletas,Tolima,Feb,608
Fenobarbital 100 mg tabletas,Tolima,Mar,834
Fenobarbital 100 mg tabletas,Tolima,Abr,672
Fenobarbital 100 mg tabletas,Tolima,May,416
Fenobarbital 100 mg tabletas,Tolima,Jun,765
Fenobarbital 100 mg tabletas,Tolima,Jul,954
Fenobarbital 100 mg tabletas,Tolima,Ago,1177
Fenobarbital 100 mg tabletas,Tolima,Sep,NA
Fenobarbital 100 mg tabletas,Tolima,Oct,NA
Fenobarbital 100 mg tabletas,Tolima,Nov,NA
Fenobarbital 100 mg tabletas,Tolima,Dic,NA
Fenobarbital 100 mg tabletas,Valle del Cauca,Ene,2119
Fenobarbital 100 mg tabletas,Valle del Cauca,Feb,2071
Fenobarbital 100 mg tabletas,Valle del Cauca,Mar,3421
Fenobarbital 100 mg tabletas,Valle del Cauca,Abr,2258
Fenobarbital 100 mg tabletas,Valle del Cauca,May,2128
Fenobarbital 100 mg tabletas,Valle del Cauca,Jun,1647
Fenobarbital 100 mg tabletas,Valle del Cauca,Jul,5603
Fenobarbital 100 mg tabletas,Valle del Cauca,Ago,2088
Fenobarbital 100 mg tabletas,Valle del Cauca,Sep,NA
Fenobarbital 100 mg tabletas,Valle del Cauca,Oct,NA
Fenobarbital 100 mg tabletas,Valle del Cauca,Nov,NA
Fenobarbital 100 mg tabletas,Valle del Cauca,Dic,NA
Fenobarbital 100 mg tabletas,Vaupés,Ene,NA
Fenobarbital 100 mg tabletas,Vaupés,Feb,NA
Fenobarbital 100 mg tabletas,Vaupés,Mar,NA
Fenobarbital 100 mg tabletas,Vaupés,Abr,NA
Fenobarbital 100 mg tabletas,Vaupés,May,NA
Fenobarbital 100 mg tabletas,Vaupés,Jun,NA
Fenobarbital 100 mg tabletas,Vaupés,Jul,NA
Fenobarbital 100 mg tabletas,Vaupés,Ago,NA
Fenobarbital 100 mg tabletas,Vaupés,Sep,NA
Fenobarbital 100 mg tabletas,Vaupés,Oct,NA
Fenobarbital 100 mg tabletas,Vaupés,Nov,NA
Fenobarbital 100 mg tabletas,Vaupés,Dic,NA
Fenobarbital 100 mg tabletas,Vichada,Ene,NA
Fenobarbital 100 mg tabletas,Vichada,Feb,0
Fenobarbital 100 mg tabletas,Vichada,Mar,0
Fenobarbital 100 mg tabletas,Vichada,Abr,34
Fenobarbital 100 mg tabletas,Vichada,May,0
Fenobarbital 100 mg tabletas,Vichada,Jun,0
Fenobarbital 100 mg tabletas,Vichada,Jul,0
Fenobarbital 100 mg tabletas,Vichada,Ago,0
Fenobarbital 100 mg tabletas,Vichada,Sep,NA
Fenobarbital 100 mg tabletas,Vichada,Oct,NA
Fenobarbital 100 mg tabletas,Vichada,Nov,NA
Fenobarbital 100 mg tabletas,Vichada,Dic,NA
Fenobarbital 100 mg tabletas,Santafé de Bogotá,Ene,2295
Fenobarbital 100 mg tabletas,Santafé de Bogotá,Feb,1870
Fenobarbital 100 mg tabletas,Santafé de Bogotá,Mar,2454
Fenobarbital 100 mg tabletas,Santafé de Bogotá,Abr,2701
Fenobarbital 100 mg tabletas,Santafé de Bogotá,May,2779
Fenobarbital 100 mg tabletas,Santafé de Bogotá,Jun,2550.4
Fenobarbital 100 mg tabletas,Santafé de Bogotá,Jul,2691.6000000000004
Fenobarbital 100 mg tabletas,Santafé de Bogotá,Ago,NA
Fenobarbital 100 mg tabletas,Santafé de Bogotá,Sep,3079
Fenobarbital 100 mg tabletas,Santafé de Bogotá,Oct,NA
Fenobarbital 100 mg tabletas,Santafé de Bogotá,Nov,NA
Fenobarbital 100 mg tabletas,Santafé de Bogotá,Dic,NA
Fenobarbital sódico 40 mg/ml solución inyectable,Amazonas,Ene,NA
Fenobarbital sódico 40 mg/ml solución inyectable,Amazonas,Feb,NA
Fenobarbital sódico 40 mg/ml solución inyectable,Amazonas,Mar,NA
Fenobarbital sódico 40 mg/ml solución inyectable,Amazonas,Abr,NA
Fenobarbital sódico 40 mg/ml solución inyectable,Amazonas,May,NA
Fenobarbital sódico 40 mg/ml solución inyectable,Amazonas,Jun,NA
Fenobarbital sódico 40 mg/ml solución inyectable,Amazonas,Jul,NA
Fenobarbital sódico 40 mg/ml solución inyectable,Amazonas,Ago,NA
Fenobarbital sódico 40 mg/ml solución inyectable,Amazonas,Sep,NA
Fenobarbital sódico 40 mg/ml solución inyectable,Amazonas,Oct,NA
Fenobarbital sódico 40 mg/ml solución inyectable,Amazonas,Nov,NA
Fenobarbital sódico 40 mg/ml solución inyectable,Amazonas,Dic,NA
Fenobarbital sódico 40 mg/ml solución inyectable,Antioquia,Ene,32
Fenobarbital sódico 40 mg/ml solución inyectable,Antioquia,Feb,56
Fenobarbital sódico 40 mg/ml solución inyectable,Antioquia,Mar,58
Fenobarbital sódico 40 mg/ml solución inyectable,Antioquia,Abr,46.60000000000002
Fenobarbital sódico 40 mg/ml solución inyectable,Antioquia,May,68.29999999999995
Fenobarbital sódico 40 mg/ml solución inyectable,Antioquia,Jun,57.10000000000002
Fenobarbital sódico 40 mg/ml solución inyectable,Antioquia,Jul,27
Fenobarbital sódico 40 mg/ml solución inyectable,Antioquia,Ago,60
Fenobarbital sódico 40 mg/ml solución inyectable,Antioquia,Sep,NA
Fenobarbital sódico 40 mg/ml solución inyectable,Antioquia,Oct,NA
Fenobarbital sódico 40 mg/ml solución inyectable,Antioquia,Nov,NA
Fenobarbital sódico 40 mg/ml solución inyectable,Antioquia,Dic,NA
Fenobarbital sódico 40 mg/ml solución inyectable,Arauca,Ene,0
Fenobarbital sódico 40 mg/ml solución inyectable,Arauca,Feb,2.6999999999999993
Fenobarbital sódico 40 mg/ml solución inyectable,Arauca,Mar,2
Fenobarbital sódico 40 mg/ml solución inyectable,Arauca,Abr,3
Fenobarbital sódico 40 mg/ml solución inyectable,Arauca,May,0.5
Fenobarbital sódico 40 mg/ml solución inyectable,Arauca,Jun,2.000000000000001
Fenobarbital sódico 40 mg/ml solución inyectable,Arauca,Jul,3.799999999999997
Fenobarbital sódico 40 mg/ml solución inyectable,Arauca,Ago,0
Fenobarbital sódico 40 mg/ml solución inyectable,Arauca,Sep,NA
Fenobarbital sódico 40 mg/ml solución inyectable,Arauca,Oct,NA
Fenobarbital sódico 40 mg/ml solución inyectable,Arauca,Nov,NA
Fenobarbital sódico 40 mg/ml solución inyectable,Arauca,Dic,NA
Fenobarbital sódico 40 mg/ml solución inyectable,Atlántico,Ene,49
Fenobarbital sódico 40 mg/ml solución inyectable,Atlántico,Feb,83
Fenobarbital sódico 40 mg/ml solución inyectable,Atlántico,Mar,120
Fenobarbital sódico 40 mg/ml solución inyectable,Atlántico,Abr,81
Fenobarbital sódico 40 mg/ml solución inyectable,Atlántico,May,64
Fenobarbital sódico 40 mg/ml solución inyectable,Atlántico,Jun,45
Fenobarbital sódico 40 mg/ml solución inyectable,Atlántico,Jul,63
Fenobarbital sódico 40 mg/ml solución inyectable,Atlántico,Ago,50
Fenobarbital sódico 40 mg/ml solución inyectable,Atlántico,Sep,NA
Fenobarbital sódico 40 mg/ml solución inyectable,Atlántico,Oct,NA
Fenobarbital sódico 40 mg/ml solución inyectable,Atlántico,Nov,NA
Fenobarbital sódico 40 mg/ml solución inyectable,Atlántico,Dic,NA
Fenobarbital sódico 40 mg/ml solución inyectable,Bolívar,Ene,4
Fenobarbital sódico 40 mg/ml solución inyectable,Bolívar,Feb,12
Fenobarbital sódico 40 mg/ml solución inyectable,Bolívar,Mar,15
Fenobarbital sódico 40 mg/ml solución inyectable,Bolívar,Abr,NA
Fenobarbital sódico 40 mg/ml solución inyectable,Bolívar,May,NA
Fenobarbital sódico 40 mg/ml solución inyectable,Bolívar,Jun,7
Fenobarbital sódico 40 mg/ml solución inyectable,Bolívar,Jul,12
Fenobarbital sódico 40 mg/ml solución inyectable,Bolívar,Ago,7
Fenobarbital sódico 40 mg/ml solución inyectable,Bolívar,Sep,NA
Fenobarbital sódico 40 mg/ml solución inyectable,Bolívar,Oct,NA
Fenobarbital sódico 40 mg/ml solución inyectable,Bolívar,Nov,NA
Fenobarbital sódico 40 mg/ml solución inyectable,Bolívar,Dic,NA
Fenobarbital sódico 40 mg/ml solución inyectable,Boyacá,Ene,0
Fenobarbital sódico 40 mg/ml solución inyectable,Boyacá,Feb,2
Fenobarbital sódico 40 mg/ml solución inyectable,Boyacá,Mar,1.8000000000000114
Fenobarbital sódico 40 mg/ml solución inyectable,Boyacá,Abr,1
Fenobarbital sódico 40 mg/ml solución inyectable,Boyacá,May,99.99999999999999
Fenobarbital sódico 40 mg/ml solución inyectable,Boyacá,Jun,0.19999999999998863
Fenobarbital sódico 40 mg/ml solución inyectable,Boyacá,Jul,70
Fenobarbital sódico 40 mg/ml solución inyectable,Boyacá,Ago,0
Fenobarbital sódico 40 mg/ml solución inyectable,Boyacá,Sep,NA
Fenobarbital sódico 40 mg/ml solución inyectable,Boyacá,Oct,NA
Fenobarbital sódico 40 mg/ml solución inyectable,Boyacá,Nov,NA
Fenobarbital sódico 40 mg/ml solución inyectable,Boyacá,Dic,NA
Fenobarbital sódico 40 mg/ml solución inyectable,Caldas,Ene,3
Fenobarbital sódico 40 mg/ml solución inyectable,Caldas,Feb,2
Fenobarbital sódico 40 mg/ml solución inyectable,Caldas,Mar,13.399999999999999
Fenobarbital sódico 40 mg/ml solución inyectable,Caldas,Abr,3
Fenobarbital sódico 40 mg/ml solución inyectable,Caldas,May,11.200000000000003
Fenobarbital sódico 40 mg/ml solución inyectable,Caldas,Jun,11.999999999999998
Fenobarbital sódico 40 mg/ml solución inyectable,Caldas,Jul,5.399999999999999
Fenobarbital sódico 40 mg/ml solución inyectable,Caldas,Ago,11
Fenobarbital sódico 40 mg/ml solución inyectable,Caldas,Sep,NA
Fenobarbital sódico 40 mg/ml solución inyectable,Caldas,Oct,NA
Fenobarbital sódico 40 mg/ml solución inyectable,Caldas,Nov,NA
Fenobarbital sódico 40 mg/ml solución inyectable,Caldas,Dic,NA
Fenobarbital sódico 40 mg/ml solución inyectable,Caquetá,Ene,30
Fenobarbital sódico 40 mg/ml solución inyectable,Caquetá,Feb,2
Fenobarbital sódico 40 mg/ml solución inyectable,Caquetá,Mar,0
Fenobarbital sódico 40 mg/ml solución inyectable,Caquetá,Abr,0
Fenobarbital sódico 40 mg/ml solución inyectable,Caquetá,May,0
Fenobarbital sódico 40 mg/ml solución inyectable,Caquetá,Jun,0
Fenobarbital sódico 40 mg/ml solución inyectable,Caquetá,Jul,1
Fenobarbital sódico 40 mg/ml solución inyectable,Caquetá,Ago,0
Fenobarbital sódico 40 mg/ml solución inyectable,Caquetá,Sep,NA
Fenobarbital sódico 40 mg/ml solución inyectable,Caquetá,Oct,NA
Fenobarbital sódico 40 mg/ml solución inyectable,Caquetá,Nov,NA
Fenobarbital sódico 40 mg/ml solución inyectable,Caquetá,Dic,NA
Fenobarbital sódico 40 mg/ml solución inyectable,Casanare,Ene,0
Fenobarbital sódico 40 mg/ml solución inyectable,Casanare,Feb,6
Fenobarbital sódico 40 mg/ml solución inyectable,Casanare,Mar,10
Fenobarbital sódico 40 mg/ml solución inyectable,Casanare,Abr,5
Fenobarbital sódico 40 mg/ml solución inyectable,Casanare,May,8
Fenobarbital sódico 40 mg/ml solución inyectable,Casanare,Jun,12
Fenobarbital sódico 40 mg/ml solución inyectable,Casanare,Jul,5
Fenobarbital sódico 40 mg/ml solución inyectable,Casanare,Ago,0
Fenobarbital sódico 40 mg/ml solución inyectable,Casanare,Sep,NA
Fenobarbital sódico 40 mg/ml solución inyectable,Casanare,Oct,NA
Fenobarbital sódico 40 mg/ml solución inyectable,Casanare,Nov,NA
Fenobarbital sódico 40 mg/ml solución inyectable,Casanare,Dic,NA
Fenobarbital sódico 40 mg/ml solución inyectable,Cauca,Ene,5
Fenobarbital sódico 40 mg/ml solución inyectable,Cauca,Feb,0
Fenobarbital sódico 40 mg/ml solución inyectable,Cauca,Mar,2.5
Fenobarbital sódico 40 mg/ml solución inyectable,Cauca,Abr,3
Fenobarbital sódico 40 mg/ml solución inyectable,Cauca,May,4.300000000000001
Fenobarbital sódico 40 mg/ml solución inyectable,Cauca,Jun,0
Fenobarbital sódico 40 mg/ml solución inyectable,Cauca,Jul,9.2
Fenobarbital sódico 40 mg/ml solución inyectable,Cauca,Ago,2
Fenobarbital sódico 40 mg/ml solución inyectable,Cauca,Sep,NA
Fenobarbital sódico 40 mg/ml solución inyectable,Cauca,Oct,NA
Fenobarbital sódico 40 mg/ml solución inyectable,Cauca,Nov,NA
Fenobarbital sódico 40 mg/ml solución inyectable,Cauca,Dic,NA
Fenobarbital sódico 40 mg/ml solución inyectable,Cesar,Ene,12
Fenobarbital sódico 40 mg/ml solución inyectable,Cesar,Feb,NA
Fenobarbital sódico 40 mg/ml solución inyectable,Cesar,Mar,NA
Fenobarbital sódico 40 mg/ml solución inyectable,Cesar,Abr,38
Fenobarbital sódico 40 mg/ml solución inyectable,Cesar,May,3
Fenobarbital sódico 40 mg/ml solución inyectable,Cesar,Jun,12.5
Fenobarbital sódico 40 mg/ml solución inyectable,Cesar,Jul,9.5
Fenobarbital sódico 40 mg/ml solución inyectable,Cesar,Ago,11
Fenobarbital sódico 40 mg/ml solución inyectable,Cesar,Sep,NA
Fenobarbital sódico 40 mg/ml solución inyectable,Cesar,Oct,NA
Fenobarbital sódico 40 mg/ml solución inyectable,Cesar,Nov,NA
Fenobarbital sódico 40 mg/ml solución inyectable,Cesar,Dic,NA
Fenobarbital sódico 40 mg/ml solución inyectable,Chocó,Ene,0
Fenobarbital sódico 40 mg/ml solución inyectable,Chocó,Feb,0
Fenobarbital sódico 40 mg/ml solución inyectable,Chocó,Mar,0
Fenobarbital sódico 40 mg/ml solución inyectable,Chocó,Abr,0
Fenobarbital sódico 40 mg/ml solución inyectable,Chocó,May,0
Fenobarbital sódico 40 mg/ml solución inyectable,Chocó,Jun,0
Fenobarbital sódico 40 mg/ml solución inyectable,Chocó,Jul,0
Fenobarbital sódico 40 mg/ml solución inyectable,Chocó,Ago,0
Fenobarbital sódico 40 mg/ml solución inyectable,Chocó,Sep,NA
Fenobarbital sódico 40 mg/ml solución inyectable,Chocó,Oct,NA
Fenobarbital sódico 40 mg/ml solución inyectable,Chocó,Nov,NA
Fenobarbital sódico 40 mg/ml solución inyectable,Chocó,Dic,NA
Fenobarbital sódico 40 mg/ml solución inyectable,Córdoba,Ene,NA
Fenobarbital sódico 40 mg/ml solución inyectable,Córdoba,Feb,NA
Fenobarbital sódico 40 mg/ml solución inyectable,Córdoba,Mar,NA
Fenobarbital sódico 40 mg/ml solución inyectable,Córdoba,Abr,NA
Fenobarbital sódico 40 mg/ml solución inyectable,Córdoba,May,NA
Fenobarbital sódico 40 mg/ml solución inyectable,Córdoba,Jun,NA
Fenobarbital sódico 40 mg/ml solución inyectable,Córdoba,Jul,NA
Fenobarbital sódico 40 mg/ml solución inyectable,Córdoba,Ago,NA
Fenobarbital sódico 40 mg/ml solución inyectable,Córdoba,Sep,NA
Fenobarbital sódico 40 mg/ml solución inyectable,Córdoba,Oct,NA
Fenobarbital sódico 40 mg/ml solución inyectable,Córdoba,Nov,NA
Fenobarbital sódico 40 mg/ml solución inyectable,Córdoba,Dic,NA
Fenobarbital sódico 40 mg/ml solución inyectable,Cundinamarca,Ene,NA
Fenobarbital sódico 40 mg/ml solución inyectable,Cundinamarca,Feb,NA
Fenobarbital sódico 40 mg/ml solución inyectable,Cundinamarca,Mar,NA
Fenobarbital sódico 40 mg/ml solución inyectable,Cundinamarca,Abr,NA
Fenobarbital sódico 40 mg/ml solución inyectable,Cundinamarca,May,NA
Fenobarbital sódico 40 mg/ml solución inyectable,Cundinamarca,Jun,NA
Fenobarbital sódico 40 mg/ml solución inyectable,Cundinamarca,Jul,NA
Fenobarbital sódico 40 mg/ml solución inyectable,Cundinamarca,Ago,NA
Fenobarbital sódico 40 mg/ml solución inyectable,Cundinamarca,Sep,NA
Fenobarbital sódico 40 mg/ml solución inyectable,Cundinamarca,Oct,NA
Fenobarbital sódico 40 mg/ml solución inyectable,Cundinamarca,Nov,NA
Fenobarbital sódico 40 mg/ml solución inyectable,Cundinamarca,Dic,NA
Fenobarbital sódico 40 mg/ml solución inyectable,La Guajira,Ene,12
Fenobarbital sódico 40 mg/ml solución inyectable,La Guajira,Feb,8
Fenobarbital sódico 40 mg/ml solución inyectable,La Guajira,Mar,3
Fenobarbital sódico 40 mg/ml solución inyectable,La Guajira,Abr,4
Fenobarbital sódico 40 mg/ml solución inyectable,La Guajira,May,10
Fenobarbital sódico 40 mg/ml solución inyectable,La Guajira,Jun,16
Fenobarbital sódico 40 mg/ml solución inyectable,La Guajira,Jul,7
Fenobarbital sódico 40 mg/ml solución inyectable,La Guajira,Ago,10
Fenobarbital sódico 40 mg/ml solución inyectable,La Guajira,Sep,NA
Fenobarbital sódico 40 mg/ml solución inyectable,La Guajira,Oct,NA
Fenobarbital sódico 40 mg/ml solución inyectable,La Guajira,Nov,NA
Fenobarbital sódico 40 mg/ml solución inyectable,La Guajira,Dic,NA
Fenobarbital sódico 40 mg/ml solución inyectable,Guainía,Ene,0
Fenobarbital sódico 40 mg/ml solución inyectable,Guainía,Feb,1
Fenobarbital sódico 40 mg/ml solución inyectable,Guainía,Mar,NA
Fenobarbital sódico 40 mg/ml solución inyectable,Guainía,Abr,0
Fenobarbital sódico 40 mg/ml solución inyectable,Guainía,May,0
Fenobarbital sódico 40 mg/ml solución inyectable,Guainía,Jun,0
Fenobarbital sódico 40 mg/ml solución inyectable,Guainía,Jul,6
Fenobarbital sódico 40 mg/ml solución inyectable,Guainía,Ago,2
Fenobarbital sódico 40 mg/ml solución inyectable,Guainía,Sep,NA
Fenobarbital sódico 40 mg/ml solución inyectable,Guainía,Oct,NA
Fenobarbital sódico 40 mg/ml solución inyectable,Guainía,Nov,NA
Fenobarbital sódico 40 mg/ml solución inyectable,Guainía,Dic,NA
Fenobarbital sódico 40 mg/ml solución inyectable,Guaviare,Ene,2
Fenobarbital sódico 40 mg/ml solución inyectable,Guaviare,Feb,0
Fenobarbital sódico 40 mg/ml solución inyectable,Guaviare,Mar,3
Fenobarbital sódico 40 mg/ml solución inyectable,Guaviare,Abr,0
Fenobarbital sódico 40 mg/ml solución inyectable,Guaviare,May,0
Fenobarbital sódico 40 mg/ml solución inyectable,Guaviare,Jun,0
Fenobarbital sódico 40 mg/ml solución inyectable,Guaviare,Jul,0
Fenobarbital sódico 40 mg/ml solución inyectable,Guaviare,Ago,0
Fenobarbital sódico 40 mg/ml solución inyectable,Guaviare,Sep,NA
Fenobarbital sódico 40 mg/ml solución inyectable,Guaviare,Oct,NA
Fenobarbital sódico 40 mg/ml solución inyectable,Guaviare,Nov,NA
Fenobarbital sódico 40 mg/ml solución inyectable,Guaviare,Dic,NA
Fenobarbital sódico 40 mg/ml solución inyectable,Huila,Ene,0
Fenobarbital sódico 40 mg/ml solución inyectable,Huila,Feb,3.6999999999999886
Fenobarbital sódico 40 mg/ml solución inyectable,Huila,Mar,8
Fenobarbital sódico 40 mg/ml solución inyectable,Huila,Abr,0.5
Fenobarbital sódico 40 mg/ml solución inyectable,Huila,May,2.1000000000000227
Fenobarbital sódico 40 mg/ml solución inyectable,Huila,Jun,4.699999999999989
Fenobarbital sódico 40 mg/ml solución inyectable,Huila,Jul,1
